"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"1870","12/31/2009","Alabama","Severe Storms and Flooding","Major Disaster Declaration"
"1869","12/31/2009","New York","Severe Storms and Flooding Associated with Tropical Depression Ida and a Nor'easter","Major Disaster Declaration"
"1868","12/23/2009","Kansas","Severe Winter Storm","Major Disaster Declaration"
"1866","12/22/2009","Alabama","Tropical Storm Ida","Major Disaster Declaration"
"1867","12/22/2009","New Jersey","Severe Storms and Flooding Associated with Tropical Depression Ida and a Nor'easter","Major Disaster Declaration"
"1865","12/18/2009","Alaska","Severe Storms, Flooding, Mudslides, and Rockslides","Major Disaster Declaration"
"1864","12/16/2009","Nebraska","Severe Winter Storm","Major Disaster Declaration"
"1863","12/10/2009","Louisiana","Severe Storms, Tornadoes, and Flooding","Major Disaster Declaration"
"1862","12/09/2009","Virginia","Severe Storms and Flooding Associated with Tropical Depression Ida and a Nor'easter","Major Disaster Declaration"
"1861","12/03/2009","Arkansas","Severe Storms, Tornadoes, and Flooding","Major Disaster Declaration"
"3306","10/24/2009","Puerto Rico","Explosions and Fire","Emergency Declaration"
"2841","10/04/2009","California","Sheep Fire","Fire Management Assistance Declaration"
"2840","10/03/2009","Arizona","Twin Fire","Fire Management Assistance Declaration"
"1860","09/30/2009","Kansas","Severe Storms and Flooding","Major Disaster Declaration"
"1859","09/29/2009","American Samoa","Earthquake, Tsunami, and Flooding","Major Disaster Declaration"
"1858","09/24/2009","Georgia","Severe Storms and Flooding","Major Disaster Declaration"
"2838","09/22/2009","Oregon","South County Fire Complex","Fire Management Assistance Declaration"
"2839","09/22/2009","California","Guiberson Fire","Fire Management Assistance Declaration"
"2837","09/04/2009","Montana","Eagle Mount Fire","Fire Management Assistance Declaration"
"1857","09/01/2009","New York","Severe Storms and Flooding","Major Disaster Declaration"
"2836","09/01/2009","California","Pendleton Fire","Fire Management Assistance Declaration"
"2834","08/31/2009","Hawaii","Kaunakakai Fire","Fire Management Assistance Declaration"
"2833","08/31/2009","California","Oak Glen Fire","Fire Management Assistance Declaration"
"2832","08/31/2009","California","49er Fire","Fire Management Assistance Declaration"
"2835","08/31/2009","Arizona","Water Wheel Fire","Fire Management Assistance Declaration"
"2831","08/30/2009","Utah","Mill Flat Fire","Fire Management Assistance Declaration"
"2830","08/28/2009","California","Station Fire","Fire Management Assistance Declaration"
"2829","08/28/2009","Oregon","Microwave Fire","Fire Management Assistance Declaration"
"2828","08/28/2009","California","PV Fire","Fire Management Assistance Declaration"
"2827","08/22/2009","Washington","Dry Creek Fire Complex","Fire Management Assistance Declaration"
"2826","08/22/2009","Washington","Oden Road Fire","Fire Management Assistance Declaration"
"1856","08/21/2009","Tennessee","Severe Storms and Flooding","Major Disaster Declaration"
"2825","08/15/2009","California","Yuba Fire","Fire Management Assistance Declaration"
"1855","08/14/2009","Kentucky","Severe Storms, Straight-line Winds, and Flooding","Major Disaster Declaration"
"2824","08/13/2009","California","Lockheed Fire","Fire Management Assistance Declaration"
"1854","08/13/2009","Iowa","Severe Storm","Major Disaster Declaration"
"1853","07/31/2009","Nebraska","Severe Storms, Tornadoes, and Flooding","Major Disaster Declaration"
"1852","07/30/2009","Maine","Severe Storms, Flooding, and Landslides","Major Disaster Declaration"
"2823","07/29/2009","Washington","Union Valley Fire","Fire Management Assistance Declaration"
"2822","07/17/2009","Nevada","Red Rock Fire","Fire Management Assistance Declaration"
"1851","07/13/2009","Tennessee","Severe Storms, Tornadoes, Straight-Line Winds, and Flooding","Major Disaster Declaration"
"1850","07/02/2009","Illinois","Severe Storms, Flooding, and Tornadoes","Major Disaster Declaration"
"1849","06/25/2009","Kansas","Severe Storms, Flooding, Straight-line Winds, and Tornadoes","Major Disaster Declaration"
"1848","06/24/2009","Kansas","Severe Winter Storm and Record and Near Record Snow","Major Disaster Declaration"
"3305","06/23/2009","Oklahoma","Snow","Emergency Declaration"
"1847","06/19/2009","Missouri","Severe Storms, Tornadoes, and Flooding","Major Disaster Declaration"
"1846","06/19/2009","Oklahoma","Wildfires","Major Disaster Declaration"
"1844","06/16/2009","South Dakota","Severe Storms and Flooding","Major Disaster Declaration"
"1845","06/16/2009","Arkansas","Severe Storms, Tornadoes, and Flooding","Major Disaster Declaration"
"1843","06/11/2009","Alaska","Flooding and Ice Jams","Major Disaster Declaration"
"1842","06/03/2009","Alabama","Severe Storms, Tornadoes, Flooding, and Straight-line Winds","Major Disaster Declaration"
"1841","05/29/2009","Kentucky","Severe Storms, Tornadoes, Flooding, and Mudslides","Major Disaster Declaration"
"1840","05/27/2009","Florida","Severe Storms, Flooding, Tornadoes, and Straight-line Winds","Major Disaster Declaration"
"2821","05/18/2009","Arizona","Mule Pass Fire","Fire Management Assistance Declaration"
"1838","05/15/2009","West Virginia","Severe Storms, Flooding, Mudslides, and Landslides","Major Disaster Declaration"
"1839","05/15/2009","Tennessee","Severe Storms, Tornadoes, and Flooding","Major Disaster Declaration"
"2820","05/14/2009","Alaska","Mile 17 East End Road Fire","Fire Management Assistance Declaration"
"2819","05/12/2009","Florida","Martin County Fire Complex","Fire Management Assistance Declaration"
"1837","05/12/2009","Mississippi","Severe Storms, Flooding, and Tornadoes","Major Disaster Declaration"
"1836","05/08/2009","Alabama","Severe Storms, Flooding, Tornadoes, and Straight-line Winds","Major Disaster Declaration"
"2818","05/07/2009","New Mexico","Buckwood Fire","Fire Management Assistance Declaration"
"2817","05/06/2009","California","Jesusita Fire","Fire Management Assistance Declaration"
"1835","04/28/2009","Alabama","Severe Storms, Flooding, Tornadoes, and Straight-line Winds","Major Disaster Declaration"
"1834","04/27/2009","Arkansas","Severe Storms and Tornadoes","Major Disaster Declaration"
