"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"1076","12/20/1995","Georgia","Severe Storms, Tornadoes","Major Disaster Declaration"
"1074","10/27/1995","Florida","Severe Storm, Flooding","Major Disaster Declaration"
"1073","10/23/1995","North Carolina","Severe Storm, High Winds, Flooding","Major Disaster Declaration"
"1072","10/13/1995","Alaska","Severe Storm, Flooding","Major Disaster Declaration"
"1071","10/10/1995","Georgia","Hurricane  Opal","Major Disaster Declaration"
"1070","10/04/1995","Alabama","Hurricane Opal","Major Disaster Declaration"
"1069","10/04/1995","Florida","Hurricane Opal","Major Disaster Declaration"
"1068","09/16/1995","Puerto Rico","Hurricane Marilyn","Major Disaster Declaration"
"1067","09/16/1995","Virgin Islands","Hurricane Marilyn","Major Disaster Declaration"
"2116","09/12/1995","Massachusetts","Russell Fire","Fire Management Assistance Declaration"
"1066","09/01/1995","Oklahoma","Tornado, Flooding","Major Disaster Declaration"
"2115","08/25/1995","New York","Sunrise Complex","Fire Management Assistance Declaration"
"1065","08/25/1995","Ohio","Severe Storm, Flooding","Major Disaster Declaration"
"1064","08/18/1995","Minnesota","Severe Storm, Thunderstorm, High Winds, Flooding, Tornadoes, Heat","Major Disaster Declaration"
"1063","08/16/1995","Vermont","Heavy Rain, Flooding","Major Disaster Declaration"
"1062","08/10/1995","Florida","Hurricane Erin","Major Disaster Declaration"
"3116","08/03/1995","Florida","Hurricane Erin","Emergency Declaration"
"1061","08/03/1995","Oregon","Flash Flooding","Major Disaster Declaration"
"1060","07/12/1995","West Virginia","Severe Storm, Heavy Rains, Flooding, Mudslides","Major Disaster Declaration"
"2114","07/08/1995","Arizona","Rio Fire","Fire Management Assistance Declaration"
"1059","07/01/1995","Virginia","Severe Storm, Flooding","Major Disaster Declaration"
"1058","06/26/1995","Oklahoma","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"1057","06/14/1995","Tennessee","Tornadoes","Major Disaster Declaration"
"1056","06/13/1995","Texas","Flooding, Severe Storm, Tornadoes, Hail","Major Disaster Declaration"
"1055","06/13/1995","Kentucky","Severe Storm, Tornadoes, Hail","Major Disaster Declaration"
"2113","06/11/1995","Arizona","Geronimo Fire","Fire Management Assistance Declaration"
"1054","06/02/1995","Missouri","Severe Storm, Tornadoes, Hail, Flooding","Major Disaster Declaration"
"1053","05/30/1995","Illinois","Severe Storm, Flooding","Major Disaster Declaration"
"1052","05/26/1995","South Dakota","Severe Storms, Flooding","Major Disaster Declaration"
"1050","05/16/1995","North Dakota","Severe Storms, Flooding, Ground Saturation","Major Disaster Declaration"
"1051","05/12/1995","Mississippi","Severe Storm, Tornado, Flooding","Major Disaster Declaration"
"1049","05/10/1995","Louisiana","Severe Storm, Flooding","Major Disaster Declaration"
"1048","04/26/1995","Oklahoma","Explosion at Federal Couthouse in Oklahoma City","Major Disaster Declaration"
"1047","04/21/1995","Alabama","Severe Storm, Tornadoes, Flooding","Major Disaster Declaration"
"3115","04/19/1995","Oklahoma","Explosion At Federal Courthouse In Oklahoma City","Emergency Declaration"
"1045","03/14/1995","South Dakota","Severe Winter Storms","Major Disaster Declaration"
"1046","03/12/1995","California","Severe Winter Storms, Flooding, Landslides, Mud Flows","Major Disaster Declaration"
"1044","01/10/1995","California","Severe Winter Storms, Flooding, Landslides, Mud Flows","Major Disaster Declaration"
