"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"3299","12/18/2008","New York","Severe Winter Storm","Emergency Declaration"
"3298","12/15/2008","Maine","Severe Winter Storm","Emergency Declaration"
"3296","12/13/2008","Massachusetts","Severe Winter Storm","Emergency Declaration"
"3297","12/13/2008","New Hampshire","Severe Winter Storm","Emergency Declaration"
"1811","12/12/2008","South Dakota","Severe Winter Storm and Record and Near Record Snow","Major Disaster Declaration"
"1810","11/18/2008","California","Wildfires","Major Disaster Declaration"
"2792","11/15/2008","California","Freeway Complex Fire","Fire Management Assistance Declaration"
"2791","11/15/2008","California","Sayre Fire","Fire Management Assistance Declaration"
"2790","11/14/2008","California","Tea Fire","Fire Management Assistance Declaration"
"1809","11/13/2008","Missouri","Severe Storms, Flooding, and a Tornado","Major Disaster Declaration"
"1808","10/31/2008","Kansas","Severe Storms, Flooding, and Tornadoes","Major Disaster Declaration"
"1807","10/29/2008","Virgin Islands","Hurricane Omar","Major Disaster Declaration"
"1806","10/27/2008","Florida","Hurricane Gustav","Major Disaster Declaration"
"1805","10/24/2008","Ohio","Severe Wind Storm associated with Tropical Depression Ike","Major Disaster Declaration"
"1804","10/22/2008","Arkansas","Tropical Storm Ike","Major Disaster Declaration"
"2789","10/13/2008","California","Sesnon Fire","Fire Management Assistance Declaration"
"2788","10/12/2008","California","Mareck Fire","Fire Management Assistance Declaration"
"1803","10/09/2008","Oklahoma","Severe Storms, Tornadoes, and Flooding","Major Disaster Declaration"
"1802","10/09/2008","Kentucky","Severe Wind Storm associated with Tropical Depression Ike","Major Disaster Declaration"
"1801","10/08/2008","North Carolina","Tropical Storm Hanna","Major Disaster Declaration"
"1800","10/03/2008","Illinois","Severe Storms and Flooding","Major Disaster Declaration"
"1799","10/03/2008","New Hampshire","Severe Storms and Flooding","Major Disaster Declaration"
"1798","10/01/2008","Puerto Rico","Severe Storms and Flooding","Major Disaster Declaration"
"1796","09/26/2008","Alaska","Severe Storms, Flooding, Landslides, and Mudslides","Major Disaster Declaration"
"1797","09/26/2008","Alabama","Severe Storms and Flooding associated with Hurricane Ike","Major Disaster Declaration"
"1795","09/23/2008","Indiana","Severe Storms and Flooding","Major Disaster Declaration"
"1794","09/22/2008","Mississippi","Hurricane Gustav","Major Disaster Declaration"
"1793","09/18/2008","Arkansas","Severe Storms and Flooding associated with Hurricane Gustav","Major Disaster Declaration"
"2787","09/17/2008","Oregon","Royce Butte Fire","Fire Management Assistance Declaration"
"1791","09/13/2008","Texas","Hurricane Ike","Major Disaster Declaration"
"1792","09/13/2008","Louisiana","Hurricane Ike","Major Disaster Declaration"
"1790","09/12/2008","Vermont","Severe Storms and Flooding","Major Disaster Declaration"
"3295","09/11/2008","Louisiana","Hurricane Ike","Emergency Declaration"
"3294","09/10/2008","Texas","Hurricane Ike","Emergency Declaration"
"1789","09/10/2008","Alabama","Hurricane Gustav","Major Disaster Declaration"
"1788","09/09/2008","Maine","Severe Storms, Flooding, and Tornadoes","Major Disaster Declaration"
"3293","09/07/2008","Florida","Hurricane Ike","Emergency Declaration"
"1787","09/05/2008","New Hampshire","Severe Storms and Flooding","Major Disaster Declaration"
"1786","09/02/2008","Louisiana","Hurricane Gustav","Major Disaster Declaration"
"2786","09/02/2008","California","Gladding Fire","Fire Management Assistance Declaration"
"3291","08/30/2008","Mississippi","Hurricane Gustav","Emergency Declaration"
"3292","08/30/2008","Alabama","Hurricane Gustav","Emergency Declaration"
